name,contact_person,email,phone,address,industry,notes
ABC Manufacturing Pty Ltd,James van der Berg,james@abcmfg.co.za,+27 11 234 5678,14 Industrial Road Germiston Johannesburg,Manufacturing,Long-standing client since 2019
Sunrise Retail Group,Priya Naidoo,priya@sunriseretail.co.za,+27 21 456 7890,88 Bree Street Cape Town,Retail,Monthly payroll and quarterly VAT
Goldfields Mining Co,David Dlamini,david@goldfields.co.za,+27 18 321 0987,1 Mine Drive Carletonville,Mining,Annual audit and tax compliance
Cape Tech Solutions,Sara Botha,sara@capetech.co.za,+27 21 789 0123,22 Techno Park Stellenbosch,Technology,Management accounts monthly
Durban Logistics Ltd,Ravi Govender,ravi@dbnlogistics.co.za,+27 31 555 1234,7 Port Access Road Durban,Logistics,Payroll for 45 employees
Highveld Property Fund,Amara Molefe,amara@hvproperty.co.za,+27 11 876 5432,Suite 12 Sandton City Johannesburg,Property,Bookkeeping and annual statements
Savanna Agriculture CC,Petrus Joubert,petrus@savanna.co.za,+27 53 001 2345,Plot 14 Douglas Road Northern Cape,Agriculture,Seasonal payroll and VAT returns
Eastgate Medical Group,Dr Lerato Sithole,lerato@eastgatemedical.co.za,+27 11 654 3210,99 Commissioner Street Boksburg,Healthcare,Monthly management accounts and payroll
Prestige Hotels SA,Chantal du Plessis,chantal@prestigehotels.co.za,+27 21 234 6789,1 Waterfront Drive Cape Town,Hospitality,Full accounting services including audit
Ubuntu Financial Services,Thandi Mkhize,thandi@ubuntufs.co.za,+27 31 432 1098,45 Smith Street Durban,Financial Services,Tax advisory and regulatory compliance
